docked_structure,compound,target,delta_g
https://workflow-data-2sa8.vercel.app/data/docking/9NOU-Glucose.pdb,D-Glucose,TAS1R2,-5.347
https://workflow-data-2sa8.vercel.app/data/docking/9NOU-Fructose.pdb,D-Fructose,TAS1R2,-5.585
https://workflow-data-2sa8.vercel.app/data/docking/9NOU-Pinocembrin.pdb,Pinocembrin,TAS1R2,-8.414
https://workflow-data-2sa8.vercel.app/data/docking/9NOU-Quercetin.pdb,Quercetin,TAS1R2,-9.081
https://workflow-data-2sa8.vercel.app/data/docking/9NOU-Rutin.pdb,Rutin,TAS1R2,-9.562
